name,house_id,location,xiaoqu_address,huanxianweizhi,xiangmutese,youbian,chanquan,kaifashang,jianzhu_type,jianzhu_mianji,jianzhu_jiegou,zhandi_mianji,dangqihu_shu,loudong_shu,zonghu_shu,lvhua_lv,rongji_lv,wuye_gongsi,wuye_fee,wuye_phone,wuye_type,wuye_address,gps_x,gps_y,built_time
九龙仓擎天半岛,yongjinhuijlc,锦江 东大街,锦江东大街锦东路399号（牛市口派出所旁...,：一至二环,"地铁沿线,豪华居住区",610065,九龙仓擎天半岛大平层产权为70年,香港九龙仓集团,塔楼 超高层,76099平方米,,14674平方米,236户,3栋,236户,29%,3.96,九龙仓物业管理公司,4.00元/㎡·月,,住宅,,104.10980987548828,30.64727783203125,2013-01-01
领馆区1号小区网,lingguanqu1hao,高新区 中和镇,高新区中和大道一段99号,：绕城以外,"国际化社区,地铁沿线 ",610212,住宅产权年限70年,四川省星元房地产开发有限责任公司,板楼 小高层 高层,213264平方米,框剪,39553平方米,1440户,4栋,1440户,60%,4.50,云杰物业管理（香港）有限责任公司,1.50元/平米·月,028-86657766,住宅,3栋3单元楼下,104.08596801757812,30.553524017333984,2009-12-28
保利花园小区网,baolihuayuan028,武侯 外双楠,武侯一期聚龙路1147号、二期聚贤街733号...,：三至绕城,"地铁沿线,花园洋房,打折优惠楼盘",610047,"保利花园5期悦榕郡普通住宅产权为70年,...",保利地产,板楼 低层 小高层 高层,500000平方米,,173334平方米,912户,42栋,912户,30%,2.80,保利物业,2.80元/㎡·月,,住宅,,103.99559020996094,30.622547149658203,2017-09-30
北大资源颐和翡翠府,yihefeicuifubdzy,高新区 新会展,高新区红星路南延线与应龙路交汇处,：绕城以外,,610065,北大资源颐和翡翠府普通住宅产权为70年...,成都金益远航房地产开发有限公司,板楼 低层 高层,149090平方米,,58467平方米,1074户,5栋,1074户,30%,2.55,北大资源物业管理有限公司,2.50元/㎡·月,,住宅,,104.09013366699219,30.538583755493164,2017-12-31
仁和春天大道小区网,renhechuntiandadao2,温江 光华大道,温江光华大道三段118号,：绕城以外,宜居生态地产,611130,70年产权,成都市江安春置业投资有限公司,塔楼 高层,500000平方米,框架 塔楼 钢混,277777平方米,3600户,41栋,3600户,60%,1.30,成都仁和春天物业管理有限公司,1.60元/平米·月,",028-82607949",住宅,仁和春天大道82栋1单元1楼,103.90072631835938,30.68511962890625,2009-01-01
营盛双子座,yingshengshuangzizuo,武侯 红牌楼,武侯红牌楼北街东侧与二环路交汇处（近...,：一至二环,"小户型,不限购",610000,营盛双子座普通住宅产权为70年,四川成都信诚开发有限公司,板楼 高层,25000平方米,,6000平方米,325户,2017-06-30,325户,30%,2.80,红牌楼北街东侧与二环...,2.80元/㎡·月,,住宅,,104.0427017211914,30.637537002563477,2017-06-30
华润二十四城,ershisichenghr,成华 万年场,成华二环路东三段双成二路33号（万象城...,：二至中环,"品牌地产,地铁沿线",610056,华润二十四城项目大平层产权为70年,华润置地(成都)发展有限公司,塔楼 高层 超高层,2100000平方米,成华,721944平方米,2310户,2018-01-01,20000户,35%,4.00,二环路东三段双成二路...,3.30元/㎡·月,,住宅,,104.12247467041016,30.655393600463867,2018-01-01
蓝光雍锦阁,yongjingelg,成华 建设路伊藤,成华建功路（荣新加油站东南方900米）,：二至中环,科技住宅,610051,蓝光雍锦阁普通住宅产权为70年,成都成华灿琮置业有限公司,塔楼 超高层,99081平方米,,16459平方米,372户,1栋,372户,26%,4.00,蓝光金管家物业服务,5.00元/㎡·月,,住宅,,104.12291717529297,30.6833438873291,2018-03-30
华侨城东岸,donganhqc,金牛 欢乐谷,金牛交大立交桥外侧西华大道（原沙西线...,：三至绕城,"公园地产,旅游地产,花园洋房",610037,华侨城天屿独栋产权为70年,成都天府华侨城实业发展有限公司,独栋,75507平方米,,92812平方米,100户,118栋,100户,25%,0.31,深圳市华侨城物业管理有限公司成都分公司,4.50元/㎡·月,,别墅,,104.04857635498047,30.731103897094727,2011-12-30
果壳里的城小区网,guokelidecheng,龙泉 龙泉驿,龙泉龙泉驿区北泉路1188号,：绕城以外,,610100,住宅70年产权,中铁地产（成都）开发有限公司,塔楼 高层,959494平方米,板塔结合,177676平方米,2700户,16栋,7746户,40%,4.20,艾明物业管理有限公司,1.40元/平米·月,028-84862266,住宅,果壳里的城一期1栋,104.24138641357422,30.579181671142578,2014-11-01
